measurement_id,measurement_type,protocol_id,comparable_group,model_id,model_family,model_variant,model_status,run_id,run_complete,checkpoint_path,checkpoint_step,training_step,epoch,evaluation_label,sampler,block_size,point,discretize,nfe,forwards_per_sequence,n_samples,seed,source_file,cross_sample_overlap_4,distinct_2,distinct_3,distinct_4,frontier_integral,gen_ppl,js_1gram,js_2gram,mauve,scoring_seconds,seq_rep_2,seq_rep_3,seq_rep_4,token_entropy,zipf
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0000::BD3LM_best_headline_n2048::sample_nfe4,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_headline_n2048,bd3lm_ancestral,16.0,sample_nfe4,sample,4.0,64.0,2048.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0038194957732841,0.2296951593137255,0.6231852854330708,0.8569065742341897,0.5545367762215324,72.61035257207355,0.0189068288022919,0.1740388553083668,0.0646006105018199,1102.3,0.0990368412990196,0.0192986435777558,0.0053286345108695,4.42794651320299,1.7559123130507168
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0001::BD3LM_best_native::sample_nfe256,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_native,bd3lm_first_hitting,16.0,sample_nfe256,sample,256.0,256.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.010297273290376,0.232797181372549,0.5397084153543307,0.7606920083992095,0.0485618479041924,13.629926766547957,0.020658174634407,0.1387609603957597,0.930795740205754,284.6,0.1625995710784313,0.0520115649606299,0.0212450592885375,4.364336741320322,1.5398329816208165
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0002::BD3LM_best_sweep::sample_nfe1,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe1,sample,1.0,16.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,9.282178217821782e-05,0.4851332720588235,0.9130859375,0.9918323863636364,0.980989119287482,650.0576291688907,0.0413371476759145,0.4853204683580142,0.0045824595156013,251.9,0.0357230392156862,0.0012918307086614,0.000100358201581,4.472698544330374,1.6099382097164208
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0003::BD3LM_best_sweep::sample_nfe2,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe2,sample,2.0,32.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0010866177909823,0.4296185661764706,0.8540231299212598,0.9670284708498024,0.876841965891574,237.14647662164705,0.0349081513306141,0.3046182078477409,0.0087043284862348,354.3,0.058547794117647,0.0061054379921259,0.0009727025691699,4.470997601458922,1.536368221832239
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0004::BD3LM_best_sweep::sample_nfe4,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe4,sample,4.0,64.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0038194957732841,0.3537607230392157,0.7426104207677166,0.9102334486166008,0.2948406376004205,73.29429504211556,0.0250755122475876,0.2086751405448002,0.2986232560197812,282.2,0.0990349264705882,0.0190468134842519,0.0051877470355731,4.435491356777943,1.520327964996482
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0005::BD3LM_best_sweep::sample_nfe8,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe8,sample,8.0,128.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0071685561422401,0.2973422181372549,0.6518362450787402,0.8500262475296443,0.1025695980051833,32.56642664210494,0.021588406875374,0.1674780142330033,0.7792172314896021,290.7,0.1310431985294117,0.0337260088582677,0.0116183917984189,4.391209322682169,1.525581239134463
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0006::BD3LM_best_sweep::sample_nfe16,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe16,sample,16.0,256.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0079767907729254,0.2655330882352941,0.5968796136811023,0.8083467144268774,0.0405017449285266,21.51110061526606,0.0206294352746388,0.1518966758877436,0.950725345339014,278.6,0.146484375,0.0417153666338582,0.0152158473320158,4.369975065512094,1.522461977666722
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0007::BD3LM_best_sweep::sample_nfe32,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,True,baseline/BD3LM_best.pt,100000.0,,,BD3LM_best_sweep,bd3lm_ancestral,16.0,sample_nfe32,sample,32.0,512.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0092335312170752,0.2497319240196078,0.5702971210629921,0.7863837080039525,0.046147441838764,17.178389000796912,0.0202161195617443,0.1432133123668673,0.9360490558594184,289.2,0.155453431372549,0.046998031496063,0.0182960721343873,4.369438010319483,1.5298851549202503
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0016::MDLM_best_headline_n2048::sample_nfe64,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_mdlm_384x6_s12345,MDLM,best_canonical_100k,complete_100k_full_eval,mdlm_tinystories_gpt2_h384_l6_seed12345,True,baseline/MDLM_best.pt,100000.0,,,MDLM_best_headline_n2048,mdlm,,sample_nfe64,sample,64.0,65.0,2048.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0089126085571157,0.1328527113970588,0.3978877030019685,0.6525116569911067,0.089813734775937,17.43787843612005,0.0166777343112824,0.1065630623894581,0.81838630067754,783.6,0.1607441023284313,0.0491222471702755,0.018361690958498,4.357670330722002,1.8111469775791795
score::results_tinystories_mdlm_bd3lm_eval_20260802_max256_scores_all.json::0017::MDLM_best_sweep::sample_nfe16,external_generation_eval,gpt2_external_quality_v2,gpt2_gptj6b_mauve_max256,gpt2_mdlm_384x6_s12345,MDLM,best_canonical_100k,complete_100k_full_eval,mdlm_tinystories_gpt2_h384_l6_seed12345,True,baseline/MDLM_best.pt,100000.0,,,MDLM_best_sweep,mdlm,,sample_nfe16,sample,16.0,17.0,512.0,0.0,results/tinystories_mdlm_bd3lm_eval_20260802_max256/scores_all.json,0.0057482131157902,0.2553615196078431,0.592404343011811,0.8131484683794467,0.0553906281743013,26.99331552197417,0.0235873541888012,0.1514783318520493,0.9157371160518336,281.5,0.1321767769607843,0.0332953986220472,0.0101670578063241,4.412504413125794,1.5928137649961855
